기준년도,기준월,법정동코드,법정동명,표준산업대분류코드,표준산업대분류명,1인당 소비 금액
2023,01,30200126,가정동,C,제조업(10-34),33800
2023,01,30200126,가정동,G,도매 및 소매업(45-47),40200
2023,01,30200126,가정동,I,숙박 및 음식점업(55-56),21300
2023,01,30200126,가정동,P,교육 서비스업(85),74400
2023,01,30200126,가정동,Q,보건업 및 사회복지 서비스업(86-87),17800
2023,01,30200126,가정동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),8000
2023,01,30200118,갑동,C,제조업(10-34),165600
2023,01,30200118,갑동,F,건설업(41-42),451600
2023,01,30200118,갑동,G,도매 및 소매업(45-47),169800
2023,01,30200118,갑동,I,숙박 및 음식점업(55-56),51700
2023,01,30200118,갑동,M,전문  과학 및 기술 서비스업(70-73),693400
2023,01,30200118,갑동,O,공공 행정 국방 및 사회보장 행정(84),56600
2023,01,30200118,갑동,P,교육 서비스업(85),493600
2023,01,30200118,갑동,R,예술  스포츠 및 여가관련 서비스업(90-91),320300
2023,01,30200118,갑동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),46600
2023,01,30200106,계산동,C,제조업(10-34),20000
2023,01,30200106,계산동,G,도매 및 소매업(45-47),127400
2023,01,30200106,계산동,H,운수 및 창고업(49-52),1500000
2023,01,30200106,계산동,I,숙박 및 음식점업(55-56),83800
2023,01,30200106,계산동,M,전문  과학 및 기술 서비스업(70-73),102300
2023,01,30200106,계산동,O,공공 행정 국방 및 사회보장 행정(84),2200
2023,01,30200106,계산동,P,교육 서비스업(85),73000
2023,01,30200106,계산동,Q,보건업 및 사회복지 서비스업(86-87),132100
2023,01,30200106,계산동,R,예술  스포츠 및 여가관련 서비스업(90-91),19100
2023,01,30200106,계산동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),139500
2023,01,30200146,관평동,C,제조업(10-34),79600
2023,01,30200146,관평동,F,건설업(41-42),10500
2023,01,30200146,관평동,G,도매 및 소매업(45-47),73300
2023,01,30200146,관평동,H,운수 및 창고업(49-52),7200
2023,01,30200146,관평동,I,숙박 및 음식점업(55-56),66300
2023,01,30200146,관평동,M,전문  과학 및 기술 서비스업(70-73),28100
2023,01,30200146,관평동,O,공공 행정 국방 및 사회보장 행정(84),126500
2023,01,30200146,관평동,P,교육 서비스업(85),453800
2023,01,30200146,관평동,Q,보건업 및 사회복지 서비스업(86-87),122000
2023,01,30200146,관평동,R,예술  스포츠 및 여가관련 서비스업(90-91),60900
2023,01,30200146,관평동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),99000
2023,01,30200102,교촌동,C,제조업(10-34),2000000
2023,01,30200102,교촌동,F,건설업(41-42),1725000
2023,01,30200102,교촌동,G,도매 및 소매업(45-47),681300
2023,01,30200102,교촌동,H,운수 및 창고업(49-52),495000
2023,01,30200102,교촌동,I,숙박 및 음식점업(55-56),43700
2023,01,30200102,교촌동,M,전문  과학 및 기술 서비스업(70-73),36300
2023,01,30200102,교촌동,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),448900
2023,01,30200102,교촌동,O,공공 행정 국방 및 사회보장 행정(84),908400
2023,01,30200102,교촌동,P,교육 서비스업(85),534300
2023,01,30200102,교촌동,Q,보건업 및 사회복지 서비스업(86-87),129600
2023,01,30200102,교촌동,R,예술  스포츠 및 여가관련 서비스업(90-91),94000
2023,01,30200102,교촌동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),100600
2023,01,30200153,구룡동,G,도매 및 소매업(45-47),25100
2023,01,30200153,구룡동,I,숙박 및 음식점업(55-56),75900
2023,01,30200153,구룡동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),145000
2023,01,30200124,구성동,C,제조업(10-34),43900
2023,01,30200124,구성동,G,도매 및 소매업(45-47),35000
2023,01,30200124,구성동,H,운수 및 창고업(49-52),2800
2023,01,30200124,구성동,I,숙박 및 음식점업(55-56),30200
2023,01,30200124,구성동,M,전문  과학 및 기술 서비스업(70-73),234100
2023,01,30200124,구성동,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),33100
2023,01,30200124,구성동,O,공공 행정 국방 및 사회보장 행정(84),25000
2023,01,30200124,구성동,P,교육 서비스업(85),254800
2023,01,30200124,구성동,Q,보건업 및 사회복지 서비스업(86-87),39500
2023,01,30200124,구성동,R,예술  스포츠 및 여가관련 서비스업(90-91),24700
2023,01,30200124,구성동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),40600
2023,01,30200112,구암동,C,제조업(10-34),20000
2023,01,30200112,구암동,F,건설업(41-42),88000
2023,01,30200112,구암동,G,도매 및 소매업(45-47),94100
2023,01,30200112,구암동,H,운수 및 창고업(49-52),27300
2023,01,30200112,구암동,I,숙박 및 음식점업(55-56),61800
2023,01,30200112,구암동,M,전문  과학 및 기술 서비스업(70-73),132800
2023,01,30200112,구암동,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),40000
2023,01,30200112,구암동,O,공공 행정 국방 및 사회보장 행정(84),37500
2023,01,30200112,구암동,P,교육 서비스업(85),131900
2023,01,30200112,구암동,Q,보건업 및 사회복지 서비스업(86-87),151100
2023,01,30200112,구암동,R,예술  스포츠 및 여가관련 서비스업(90-91),63000
2023,01,30200112,구암동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),103600
2023,01,30200122,궁동,C,제조업(10-34),22900
2023,01,30200122,궁동,G,도매 및 소매업(45-47),48300
2023,01,30200122,궁동,H,운수 및 창고업(49-52),14600
2023,01,30200122,궁동,I,숙박 및 음식점업(55-56),72500
2023,01,30200122,궁동,K,금융 및 보험업(64-66),184300
2023,01,30200122,궁동,L,부동산업(68),1458800
2023,01,30200122,궁동,M,전문  과학 및 기술 서비스업(70-73),85800
