기준년도,기준월,법정동코드,법정동명,표준산업대분류코드,표준산업대분류명,1인당 소비 금액
2023,04,30200126,가정동,C,제조업(10-34),37500
2023,04,30200126,가정동,G,도매 및 소매업(45-47),55900
2023,04,30200126,가정동,I,숙박 및 음식점업(55-56),20500
2023,04,30200126,가정동,P,교육 서비스업(85),72000
2023,04,30200126,가정동,Q,보건업 및 사회복지 서비스업(86-87),19500
2023,04,30200126,가정동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),11800
2023,04,30200118,갑동,C,제조업(10-34),246200
2023,04,30200118,갑동,F,건설업(41-42),197300
2023,04,30200118,갑동,G,도매 및 소매업(45-47),155200
2023,04,30200118,갑동,I,숙박 및 음식점업(55-56),65800
2023,04,30200118,갑동,M,전문  과학 및 기술 서비스업(70-73),125100
2023,04,30200118,갑동,O,공공 행정 국방 및 사회보장 행정(84),75400
2023,04,30200118,갑동,P,교육 서비스업(85),406100
2023,04,30200118,갑동,R,예술  스포츠 및 여가관련 서비스업(90-91),1029100
2023,04,30200118,갑동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),43700
2023,04,30200106,계산동,C,제조업(10-34),17400
2023,04,30200106,계산동,G,도매 및 소매업(45-47),119000
2023,04,30200106,계산동,H,운수 및 창고업(49-52),660000
2023,04,30200106,계산동,I,숙박 및 음식점업(55-56),105800
2023,04,30200106,계산동,M,전문  과학 및 기술 서비스업(70-73),40800
2023,04,30200106,계산동,O,공공 행정 국방 및 사회보장 행정(84),2100
2023,04,30200106,계산동,P,교육 서비스업(85),85800
2023,04,30200106,계산동,Q,보건업 및 사회복지 서비스업(86-87),151600
2023,04,30200106,계산동,R,예술  스포츠 및 여가관련 서비스업(90-91),28600
2023,04,30200106,계산동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),113500
2023,04,30200146,관평동,C,제조업(10-34),158700
2023,04,30200146,관평동,F,건설업(41-42),14100
2023,04,30200146,관평동,G,도매 및 소매업(45-47),65800
2023,04,30200146,관평동,H,운수 및 창고업(49-52),8400
2023,04,30200146,관평동,I,숙박 및 음식점업(55-56),63400
2023,04,30200146,관평동,M,전문  과학 및 기술 서비스업(70-73),36900
2023,04,30200146,관평동,O,공공 행정 국방 및 사회보장 행정(84),76300
2023,04,30200146,관평동,P,교육 서비스업(85),425100
2023,04,30200146,관평동,Q,보건업 및 사회복지 서비스업(86-87),131600
2023,04,30200146,관평동,R,예술  스포츠 및 여가관련 서비스업(90-91),67400
2023,04,30200146,관평동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),116600
2023,04,30200102,교촌동,C,제조업(10-34),3000000
2023,04,30200102,교촌동,F,건설업(41-42),1646200
2023,04,30200102,교촌동,G,도매 및 소매업(45-47),573700
2023,04,30200102,교촌동,H,운수 및 창고업(49-52),100000
2023,04,30200102,교촌동,I,숙박 및 음식점업(55-56),45500
2023,04,30200102,교촌동,M,전문  과학 및 기술 서비스업(70-73),33600
2023,04,30200102,교촌동,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),404800
2023,04,30200102,교촌동,O,공공 행정 국방 및 사회보장 행정(84),180100
