기준년도,기준월,법정동코드,법정동명,표준산업대분류코드,표준산업대분류명,1인당 소비 금액
2023,12,30200126,가정동,C,제조업(10-34),65600
2023,12,30200126,가정동,G,도매 및 소매업(45-47),48100
2023,12,30200126,가정동,I,숙박 및 음식점업(55-56),18500
2023,12,30200126,가정동,P,교육 서비스업(85),58700
2023,12,30200126,가정동,Q,보건업 및 사회복지 서비스업(86-87),20600
2023,12,30200126,가정동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),7700
2023,12,30200118,갑동,C,제조업(10-34),165000
2023,12,30200118,갑동,G,도매 및 소매업(45-47),82600
2023,12,30200118,갑동,I,숙박 및 음식점업(55-56),40900
2023,12,30200118,갑동,M,전문  과학 및 기술 서비스업(70-73),7900
2023,12,30200118,갑동,O,공공 행정 국방 및 사회보장 행정(84),44500
2023,12,30200118,갑동,P,교육 서비스업(85),257300
2023,12,30200118,갑동,Q,보건업 및 사회복지 서비스업(86-87),33000
2023,12,30200118,갑동,R,예술  스포츠 및 여가관련 서비스업(90-91),336600
2023,12,30200118,갑동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),129300
2023,12,30200106,계산동,C,제조업(10-34),16500
2023,12,30200106,계산동,G,도매 및 소매업(45-47),62300
2023,12,30200106,계산동,I,숙박 및 음식점업(55-56),53800
2023,12,30200106,계산동,M,전문  과학 및 기술 서비스업(70-73),36600
2023,12,30200106,계산동,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),187000
2023,12,30200106,계산동,O,공공 행정 국방 및 사회보장 행정(84),12500
2023,12,30200106,계산동,P,교육 서비스업(85),179200
2023,12,30200106,계산동,Q,보건업 및 사회복지 서비스업(86-87),179000
2023,12,30200106,계산동,R,예술  스포츠 및 여가관련 서비스업(90-91),34600
2023,12,30200106,계산동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),157900
2023,12,30200146,관평동,C,제조업(10-34),136800
2023,12,30200146,관평동,F,건설업(41-42),5500
2023,12,30200146,관평동,G,도매 및 소매업(45-47),943900
2023,12,30200146,관평동,H,운수 및 창고업(49-52),9000
2023,12,30200146,관평동,I,숙박 및 음식점업(55-56),62000
2023,12,30200146,관평동,J,정보통신업(58-63),42900
2023,12,30200146,관평동,M,전문  과학 및 기술 서비스업(70-73),34200
2023,12,30200146,관평동,O,공공 행정 국방 및 사회보장 행정(84),141800
2023,12,30200146,관평동,P,교육 서비스업(85),301300
2023,12,30200146,관평동,Q,보건업 및 사회복지 서비스업(86-87),65500
2023,12,30200146,관평동,R,예술  스포츠 및 여가관련 서비스업(90-91),48800
