기준년도,기준월,법정동코드,법정동명,표준산업대분류코드,표준산업대분류명,1인당 소비 금액
2023,09,30200126,가정동,C,제조업(10-34),37000
2023,09,30200126,가정동,G,도매 및 소매업(45-47),47200
2023,09,30200126,가정동,I,숙박 및 음식점업(55-56),20200
2023,09,30200126,가정동,P,교육 서비스업(85),77700
2023,09,30200126,가정동,Q,보건업 및 사회복지 서비스업(86-87),43800
2023,09,30200126,가정동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),8100
2023,09,30200118,갑동,C,제조업(10-34),261800
2023,09,30200118,갑동,G,도매 및 소매업(45-47),119000
2023,09,30200118,갑동,I,숙박 및 음식점업(55-56),41000
2023,09,30200118,갑동,M,전문  과학 및 기술 서비스업(70-73),7700
2023,09,30200118,갑동,O,공공 행정 국방 및 사회보장 행정(84),63000
2023,09,30200118,갑동,P,교육 서비스업(85),332800
2023,09,30200118,갑동,R,예술  스포츠 및 여가관련 서비스업(90-91),642800
2023,09,30200118,갑동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),57700
2023,09,30200106,계산동,C,제조업(10-34),20000
2023,09,30200106,계산동,G,도매 및 소매업(45-47),67500
2023,09,30200106,계산동,I,숙박 및 음식점업(55-56),44900
2023,09,30200106,계산동,M,전문  과학 및 기술 서비스업(70-73),53800
2023,09,30200106,계산동,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),1168200
2023,09,30200106,계산동,O,공공 행정 국방 및 사회보장 행정(84),2600
2023,09,30200106,계산동,P,교육 서비스업(85),143200
2023,09,30200106,계산동,Q,보건업 및 사회복지 서비스업(86-87),292900
2023,09,30200106,계산동,R,예술  스포츠 및 여가관련 서비스업(90-91),34800
2023,09,30200106,계산동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),96300
2023,09,30200146,관평동,C,제조업(10-34),68700
2023,09,30200146,관평동,F,건설업(41-42),107500
2023,09,30200146,관평동,G,도매 및 소매업(45-47),737100
2023,09,30200146,관평동,H,운수 및 창고업(49-52),7000
2023,09,30200146,관평동,I,숙박 및 음식점업(55-56),52600
2023,09,30200146,관평동,J,정보통신업(58-63),23000
2023,09,30200146,관평동,M,전문  과학 및 기술 서비스업(70-73),45400
2023,09,30200146,관평동,O,공공 행정 국방 및 사회보장 행정(84),52200
2023,09,30200146,관평동,P,교육 서비스업(85),296400
2023,09,30200146,관평동,Q,보건업 및 사회복지 서비스업(86-87),76700
2023,09,30200146,관평동,R,예술  스포츠 및 여가관련 서비스업(90-91),50300
2023,09,30200146,관평동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),108100
