기준년도,기준월,법정동코드,법정동명,표준산업대분류코드,표준산업대분류명,1인당 소비 금액
2023,02,30200126,가정동,C,제조업(10-34),38000
2023,02,30200126,가정동,G,도매 및 소매업(45-47),42000
2023,02,30200126,가정동,I,숙박 및 음식점업(55-56),21200
2023,02,30200126,가정동,P,교육 서비스업(85),77400
2023,02,30200126,가정동,Q,보건업 및 사회복지 서비스업(86-87),15700
2023,02,30200126,가정동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),8600
2023,02,30200118,갑동,C,제조업(10-34),128700
2023,02,30200118,갑동,F,건설업(41-42),197400
2023,02,30200118,갑동,G,도매 및 소매업(45-47),175800
2023,02,30200118,갑동,I,숙박 및 음식점업(55-56),53700
2023,02,30200118,갑동,M,전문  과학 및 기술 서비스업(70-73),95500
2023,02,30200118,갑동,O,공공 행정 국방 및 사회보장 행정(84),68700
2023,02,30200118,갑동,P,교육 서비스업(85),493600
2023,02,30200118,갑동,R,예술  스포츠 및 여가관련 서비스업(90-91),395800
2023,02,30200118,갑동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),35200
2023,02,30200106,계산동,C,제조업(10-34),14200
2023,02,30200106,계산동,G,도매 및 소매업(45-47),110800
2023,02,30200106,계산동,I,숙박 및 음식점업(55-56),83500
2023,02,30200106,계산동,M,전문  과학 및 기술 서비스업(70-73),36200
2023,02,30200106,계산동,O,공공 행정 국방 및 사회보장 행정(84),2200
2023,02,30200106,계산동,P,교육 서비스업(85),84400
2023,02,30200106,계산동,Q,보건업 및 사회복지 서비스업(86-87),291900
2023,02,30200106,계산동,R,예술  스포츠 및 여가관련 서비스업(90-91),18200
2023,02,30200106,계산동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),170600
2023,02,30200146,관평동,C,제조업(10-34),213600
2023,02,30200146,관평동,F,건설업(41-42),11300
2023,02,30200146,관평동,G,도매 및 소매업(45-47),68200
2023,02,30200146,관평동,H,운수 및 창고업(49-52),7200
2023,02,30200146,관평동,I,숙박 및 음식점업(55-56),65100
2023,02,30200146,관평동,M,전문  과학 및 기술 서비스업(70-73),36500
2023,02,30200146,관평동,O,공공 행정 국방 및 사회보장 행정(84),137200
2023,02,30200146,관평동,P,교육 서비스업(85),460100
2023,02,30200146,관평동,Q,보건업 및 사회복지 서비스업(86-87),125400
2023,02,30200146,관평동,R,예술  스포츠 및 여가관련 서비스업(90-91),60100
2023,02,30200146,관평동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),110200
2023,02,30200102,교촌동,C,제조업(10-34),2000000
2023,02,30200102,교촌동,F,건설업(41-42),2449300
2023,02,30200102,교촌동,G,도매 및 소매업(45-47),498900
2023,02,30200102,교촌동,I,숙박 및 음식점업(55-56),44000
2023,02,30200102,교촌동,M,전문  과학 및 기술 서비스업(70-73),31400
2023,02,30200102,교촌동,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),351700
2023,02,30200102,교촌동,O,공공 행정 국방 및 사회보장 행정(84),283900
2023,02,30200102,교촌동,P,교육 서비스업(85),530200
2023,02,30200102,교촌동,Q,보건업 및 사회복지 서비스업(86-87),109100
2023,02,30200102,교촌동,R,예술  스포츠 및 여가관련 서비스업(90-91),103800
2023,02,30200102,교촌동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),85800
2023,02,30200153,구룡동,G,도매 및 소매업(45-47),25300
2023,02,30200153,구룡동,I,숙박 및 음식점업(55-56),116700
2023,02,30200124,구성동,C,제조업(10-34),75800
2023,02,30200124,구성동,G,도매 및 소매업(45-47),31200
2023,02,30200124,구성동,H,운수 및 창고업(49-52),2900
2023,02,30200124,구성동,I,숙박 및 음식점업(55-56),31500
2023,02,30200124,구성동,M,전문  과학 및 기술 서비스업(70-73),278400
2023,02,30200124,구성동,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),44300
2023,02,30200124,구성동,O,공공 행정 국방 및 사회보장 행정(84),15700
2023,02,30200124,구성동,P,교육 서비스업(85),311400
2023,02,30200124,구성동,Q,보건업 및 사회복지 서비스업(86-87),37400
2023,02,30200124,구성동,R,예술  스포츠 및 여가관련 서비스업(90-91),22200
2023,02,30200124,구성동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),38900
2023,02,30200112,구암동,C,제조업(10-34),390000
2023,02,30200112,구암동,F,건설업(41-42),50000
2023,02,30200112,구암동,G,도매 및 소매업(45-47),79700
2023,02,30200112,구암동,H,운수 및 창고업(49-52),2900
2023,02,30200112,구암동,I,숙박 및 음식점업(55-56),63000
2023,02,30200112,구암동,K,금융 및 보험업(64~66),1000000
2023,02,30200112,구암동,M,전문  과학 및 기술 서비스업(70-73),143600
2023,02,30200112,구암동,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),115000
2023,02,30200112,구암동,O,공공 행정 국방 및 사회보장 행정(84),83900
2023,02,30200112,구암동,P,교육 서비스업(85),148000
2023,02,30200112,구암동,Q,보건업 및 사회복지 서비스업(86-87),113800
2023,02,30200112,구암동,R,예술  스포츠 및 여가관련 서비스업(90-91),50500
2023,02,30200112,구암동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),94300
2023,02,30200122,궁동,C,제조업(10-34),29100
2023,02,30200122,궁동,F,건설업(41-42),17600
2023,02,30200122,궁동,G,도매 및 소매업(45-47),45300
2023,02,30200122,궁동,H,운수 및 창고업(49-52),13600
2023,02,30200122,궁동,I,숙박 및 음식점업(55-56),69000
2023,02,30200122,궁동,K,금융 및 보험업(64~66),201700
2023,02,30200122,궁동,L,부동산업(68),10000
2023,02,30200122,궁동,M,전문  과학 및 기술 서비스업(70-73),75300
2023,02,30200122,궁동,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),21900
2023,02,30200122,궁동,O,공공 행정 국방 및 사회보장 행정(84),51500
2023,02,30200122,궁동,P,교육 서비스업(85),417700
2023,02,30200122,궁동,Q,보건업 및 사회복지 서비스업(86-87),183600
2023,02,30200122,궁동,R,예술  스포츠 및 여가관련 서비스업(90-91),41100
2023,02,30200122,궁동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),71300
2023,02,30200148,금고동,I,숙박 및 음식점업(55-56),14600
2023,02,30200119,노은동,G,도매 및 소매업(45-47),141000
2023,02,30200119,노은동,H,운수 및 창고업(49-52),4200
2023,02,30200119,노은동,I,숙박 및 음식점업(55-56),90100
2023,02,30200119,노은동,M,전문  과학 및 기술 서비스업(70-73),94900
2023,02,30200119,노은동,O,공공 행정 국방 및 사회보장 행정(84),1651500
2023,02,30200119,노은동,P,교육 서비스업(85),34300
2023,02,30200119,노은동,Q,보건업 및 사회복지 서비스업(86-87),11200
