기준년도,기준월,법정동코드,법정동명,표준산업대분류코드,표준산업대분류명,1인당 소비 금액
2023,06,30200126,가정동,C,제조업(10-34),45600
2023,06,30200126,가정동,G,도매 및 소매업(45-47),52200
2023,06,30200126,가정동,I,숙박 및 음식점업(55-56),20000
2023,06,30200126,가정동,P,교육 서비스업(85),72500
2023,06,30200126,가정동,Q,보건업 및 사회복지 서비스업(86-87),22000
2023,06,30200126,가정동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),9700
2023,06,30200118,갑동,C,제조업(10-34),145000
2023,06,30200118,갑동,F,건설업(41-42),342600
2023,06,30200118,갑동,G,도매 및 소매업(45-47),146700
2023,06,30200118,갑동,I,숙박 및 음식점업(55-56),82500
2023,06,30200118,갑동,M,전문  과학 및 기술 서비스업(70-73),91400
2023,06,30200118,갑동,O,공공 행정 국방 및 사회보장 행정(84),64300
2023,06,30200118,갑동,P,교육 서비스업(85),429000
2023,06,30200118,갑동,R,예술  스포츠 및 여가관련 서비스업(90-91),790400
2023,06,30200118,갑동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),45900
2023,06,30200106,계산동,C,제조업(10-34),19200
2023,06,30200106,계산동,G,도매 및 소매업(45-47),110100
2023,06,30200106,계산동,I,숙박 및 음식점업(55-56),94600
2023,06,30200106,계산동,M,전문  과학 및 기술 서비스업(70-73),96500
2023,06,30200106,계산동,O,공공 행정 국방 및 사회보장 행정(84),2600
2023,06,30200106,계산동,P,교육 서비스업(85),75500
2023,06,30200106,계산동,Q,보건업 및 사회복지 서비스업(86-87),170300
2023,06,30200106,계산동,R,예술  스포츠 및 여가관련 서비스업(90-91),38100
2023,06,30200106,계산동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),139300
2023,06,30200146,관평동,C,제조업(10-34),183400
2023,06,30200146,관평동,F,건설업(41-42),11600
2023,06,30200146,관평동,G,도매 및 소매업(45-47),476600
2023,06,30200146,관평동,H,운수 및 창고업(49-52),7700
2023,06,30200146,관평동,I,숙박 및 음식점업(55-56),66300
2023,06,30200146,관평동,J,정보통신업(58-63),42300
2023,06,30200146,관평동,M,전문  과학 및 기술 서비스업(70-73),48300
2023,06,30200146,관평동,O,공공 행정 국방 및 사회보장 행정(84),49200
2023,06,30200146,관평동,P,교육 서비스업(85),386500
2023,06,30200146,관평동,Q,보건업 및 사회복지 서비스업(86-87),140500
2023,06,30200146,관평동,R,예술  스포츠 및 여가관련 서비스업(90-91),59800
2023,06,30200146,관평동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),103500
2023,06,30200102,교촌동,C,제조업(10-34),2500000
2023,06,30200102,교촌동,F,건설업(41-42),2699900
2023,06,30200102,교촌동,G,도매 및 소매업(45-47),448000
2023,06,30200102,교촌동,H,운수 및 창고업(49-52),2035000
2023,06,30200102,교촌동,I,숙박 및 음식점업(55-56),48800
2023,06,30200102,교촌동,M,전문  과학 및 기술 서비스업(70-73),36100
2023,06,30200102,교촌동,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),294900
2023,06,30200102,교촌동,O,공공 행정 국방 및 사회보장 행정(84),224500
2023,06,30200102,교촌동,P,교육 서비스업(85),416200
2023,06,30200102,교촌동,Q,보건업 및 사회복지 서비스업(86-87),99000
2023,06,30200102,교촌동,R,예술  스포츠 및 여가관련 서비스업(90-91),82800
2023,06,30200102,교촌동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),98000
2023,06,30200153,구룡동,G,도매 및 소매업(45-47),70100
