기준년도,기준월,법정동코드,법정동명,표준산업대분류코드,표준산업대분류명,1인당 소비 금액
2023,05,30200126,가정동,C,제조업(10-34),43700
2023,05,30200126,가정동,G,도매 및 소매업(45-47),58200
2023,05,30200126,가정동,I,숙박 및 음식점업(55-56),22200
2023,05,30200126,가정동,P,교육 서비스업(85),73500
2023,05,30200126,가정동,Q,보건업 및 사회복지 서비스업(86-87),33700
2023,05,30200126,가정동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),12900
2023,05,30200118,갑동,C,제조업(10-34),92700
2023,05,30200118,갑동,F,건설업(41-42),340000
2023,05,30200118,갑동,G,도매 및 소매업(45-47),149700
2023,05,30200118,갑동,I,숙박 및 음식점업(55-56),76500
2023,05,30200118,갑동,M,전문  과학 및 기술 서비스업(70-73),66200
2023,05,30200118,갑동,O,공공 행정 국방 및 사회보장 행정(84),73900
2023,05,30200118,갑동,P,교육 서비스업(85),433600
2023,05,30200118,갑동,R,예술  스포츠 및 여가관련 서비스업(90-91),986400
2023,05,30200118,갑동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),40300
2023,05,30200106,계산동,C,제조업(10-34),15100
2023,05,30200106,계산동,G,도매 및 소매업(45-47),114800
2023,05,30200106,계산동,I,숙박 및 음식점업(55-56),114900
2023,05,30200106,계산동,M,전문  과학 및 기술 서비스업(70-73),33300
2023,05,30200106,계산동,O,공공 행정 국방 및 사회보장 행정(84),1800
2023,05,30200106,계산동,P,교육 서비스업(85),88500
2023,05,30200106,계산동,Q,보건업 및 사회복지 서비스업(86-87),162000
2023,05,30200106,계산동,R,예술  스포츠 및 여가관련 서비스업(90-91),64500
2023,05,30200106,계산동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),149600
2023,05,30200146,관평동,C,제조업(10-34),228000
2023,05,30200146,관평동,F,건설업(41-42),18200
2023,05,30200146,관평동,G,도매 및 소매업(45-47),66200
2023,05,30200146,관평동,H,운수 및 창고업(49-52),8400
2023,05,30200146,관평동,I,숙박 및 음식점업(55-56),63300
2023,05,30200146,관평동,M,전문  과학 및 기술 서비스업(70-73),48300
2023,05,30200146,관평동,O,공공 행정 국방 및 사회보장 행정(84),70100
2023,05,30200146,관평동,P,교육 서비스업(85),427700
2023,05,30200146,관평동,Q,보건업 및 사회복지 서비스업(86-87),122400
2023,05,30200146,관평동,R,예술  스포츠 및 여가관련 서비스업(90-91),62400
2023,05,30200146,관평동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),105400
2023,05,30200102,교촌동,C,제조업(10-34),3000000
2023,05,30200102,교촌동,F,건설업(41-42),1735000
2023,05,30200102,교촌동,G,도매 및 소매업(45-47),524900
2023,05,30200102,교촌동,I,숙박 및 음식점업(55-56),46400
2023,05,30200102,교촌동,M,전문  과학 및 기술 서비스업(70-73),35400
2023,05,30200102,교촌동,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),451600
2023,05,30200102,교촌동,O,공공 행정 국방 및 사회보장 행정(84),205600
2023,05,30200102,교촌동,P,교육 서비스업(85),496100
2023,05,30200102,교촌동,Q,보건업 및 사회복지 서비스업(86-87),140700
2023,05,30200102,교촌동,R,예술  스포츠 및 여가관련 서비스업(90-91),59500
2023,05,30200102,교촌동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),97200
2023,05,30200153,구룡동,G,도매 및 소매업(45-47),37600
2023,05,30200153,구룡동,I,숙박 및 음식점업(55-56),73100
2023,05,30200153,구룡동,P,교육 서비스업(85),524800
2023,05,30200153,구룡동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),22300
2023,05,30200124,구성동,C,제조업(10-34),35700
2023,05,30200124,구성동,G,도매 및 소매업(45-47),32200
2023,05,30200124,구성동,H,운수 및 창고업(49-52),2600
2023,05,30200124,구성동,I,숙박 및 음식점업(55-56),33500
2023,05,30200124,구성동,M,전문  과학 및 기술 서비스업(70-73),388800
2023,05,30200124,구성동,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),28400
2023,05,30200124,구성동,O,공공 행정 국방 및 사회보장 행정(84),21800
