기준년도,기준월,법정동코드,법정동명,표준산업대분류코드,표준산업대분류명,1인당 소비 금액
2023,10,30200126,가정동,C,제조업(10-34),40700
2023,10,30200126,가정동,G,도매 및 소매업(45-47),49500
2023,10,30200126,가정동,I,숙박 및 음식점업(55-56),20200
2023,10,30200126,가정동,P,교육 서비스업(85),73800
2023,10,30200126,가정동,Q,보건업 및 사회복지 서비스업(86-87),30600
2023,10,30200126,가정동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),10400
2023,10,30200118,갑동,C,제조업(10-34),218000
2023,10,30200118,갑동,F,건설업(41-42),2333400
2023,10,30200118,갑동,G,도매 및 소매업(45-47),83800
2023,10,30200118,갑동,I,숙박 및 음식점업(55-56),60300
2023,10,30200118,갑동,M,전문  과학 및 기술 서비스업(70-73),10200
2023,10,30200118,갑동,O,공공 행정 국방 및 사회보장 행정(84),58000
2023,10,30200118,갑동,P,교육 서비스업(85),208500
2023,10,30200118,갑동,Q,보건업 및 사회복지 서비스업(86-87),52400
2023,10,30200118,갑동,R,예술  스포츠 및 여가관련 서비스업(90-91),872400
2023,10,30200118,갑동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),90400
2023,10,30200106,계산동,C,제조업(10-34),76900
2023,10,30200106,계산동,G,도매 및 소매업(45-47),67200
2023,10,30200106,계산동,I,숙박 및 음식점업(55-56),47000
2023,10,30200106,계산동,M,전문  과학 및 기술 서비스업(70-73),113600
2023,10,30200106,계산동,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),335500
2023,10,30200106,계산동,O,공공 행정 국방 및 사회보장 행정(84),3200
2023,10,30200106,계산동,P,교육 서비스업(85),170900
2023,10,30200106,계산동,Q,보건업 및 사회복지 서비스업(86-87),294000
2023,10,30200106,계산동,R,예술  스포츠 및 여가관련 서비스업(90-91),34200
2023,10,30200106,계산동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),145600
2023,10,30200146,관평동,C,제조업(10-34),184700
2023,10,30200146,관평동,F,건설업(41-42),5300
2023,10,30200146,관평동,G,도매 및 소매업(45-47),1116300
