기준년도,기준월,법정동코드,법정동명,표준산업대분류코드,표준산업대분류명,1인당 소비 금액
2023,03,30200126,가정동,C,제조업(10-34),35600
2023,03,30200126,가정동,G,도매 및 소매업(45-47),58000
2023,03,30200126,가정동,I,숙박 및 음식점업(55-56),19800
2023,03,30200126,가정동,P,교육 서비스업(85),71700
2023,03,30200126,가정동,Q,보건업 및 사회복지 서비스업(86-87),13500
2023,03,30200126,가정동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),11700
2023,03,30200118,갑동,C,제조업(10-34),119700
2023,03,30200118,갑동,F,건설업(41-42),1870400
2023,03,30200118,갑동,G,도매 및 소매업(45-47),170900
2023,03,30200118,갑동,I,숙박 및 음식점업(55-56),65100
2023,03,30200118,갑동,M,전문  과학 및 기술 서비스업(70-73),150000
2023,03,30200118,갑동,O,공공 행정 국방 및 사회보장 행정(84),65100
2023,03,30200118,갑동,P,교육 서비스업(85),398800
2023,03,30200118,갑동,R,예술  스포츠 및 여가관련 서비스업(90-91),861400
2023,03,30200118,갑동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),39100
2023,03,30200106,계산동,C,제조업(10-34),16900
2023,03,30200106,계산동,G,도매 및 소매업(45-47),116700
2023,03,30200106,계산동,I,숙박 및 음식점업(55-56),97100
2023,03,30200106,계산동,M,전문  과학 및 기술 서비스업(70-73),55000
2023,03,30200106,계산동,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),1069800
2023,03,30200106,계산동,O,공공 행정 국방 및 사회보장 행정(84),1900
2023,03,30200106,계산동,P,교육 서비스업(85),63700
2023,03,30200106,계산동,Q,보건업 및 사회복지 서비스업(86-87),186800
2023,03,30200106,계산동,R,예술  스포츠 및 여가관련 서비스업(90-91),21200
2023,03,30200106,계산동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),182100
2023,03,30200146,관평동,C,제조업(10-34),233200
2023,03,30200146,관평동,F,건설업(41-42),12400
2023,03,30200146,관평동,G,도매 및 소매업(45-47),73400
2023,03,30200146,관평동,H,운수 및 창고업(49-52),8100
2023,03,30200146,관평동,I,숙박 및 음식점업(55-56),65700
2023,03,30200146,관평동,M,전문  과학 및 기술 서비스업(70-73),37500
2023,03,30200146,관평동,O,공공 행정 국방 및 사회보장 행정(84),133600
2023,03,30200146,관평동,P,교육 서비스업(85),443200
2023,03,30200146,관평동,Q,보건업 및 사회복지 서비스업(86-87),139600
2023,03,30200146,관평동,R,예술  스포츠 및 여가관련 서비스업(90-91),71600
2023,03,30200146,관평동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),117500
2023,03,30200102,교촌동,C,제조업(10-34),4000000
2023,03,30200102,교촌동,F,건설업(41-42),2805600
2023,03,30200102,교촌동,G,도매 및 소매업(45-47),547200
2023,03,30200102,교촌동,H,운수 및 창고업(49-52),1200000
2023,03,30200102,교촌동,I,숙박 및 음식점업(55-56),45700
2023,03,30200102,교촌동,M,전문  과학 및 기술 서비스업(70-73),43100
2023,03,30200102,교촌동,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),295400
2023,03,30200102,교촌동,O,공공 행정 국방 및 사회보장 행정(84),324800
2023,03,30200102,교촌동,P,교육 서비스업(85),446900
2023,03,30200102,교촌동,Q,보건업 및 사회복지 서비스업(86-87),94800
2023,03,30200102,교촌동,R,예술  스포츠 및 여가관련 서비스업(90-91),68900
2023,03,30200102,교촌동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),89900
2023,03,30200153,구룡동,G,도매 및 소매업(45-47),25100
2023,03,30200153,구룡동,I,숙박 및 음식점업(55-56),82800
2023,03,30200153,구룡동,P,교육 서비스업(85),535200
2023,03,30200153,구룡동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),28700
2023,03,30200124,구성동,C,제조업(10-34),28700
2023,03,30200124,구성동,G,도매 및 소매업(45-47),32200
2023,03,30200124,구성동,H,운수 및 창고업(49-52),3000
2023,03,30200124,구성동,I,숙박 및 음식점업(55-56),35900
2023,03,30200124,구성동,M,전문  과학 및 기술 서비스업(70-73),247300
2023,03,30200124,구성동,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),16100
2023,03,30200124,구성동,O,공공 행정 국방 및 사회보장 행정(84),89500
2023,03,30200124,구성동,P,교육 서비스업(85),348500
2023,03,30200124,구성동,Q,보건업 및 사회복지 서비스업(86-87),34400
2023,03,30200124,구성동,R,예술  스포츠 및 여가관련 서비스업(90-91),24000
2023,03,30200124,구성동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),38200
2023,03,30200112,구암동,C,제조업(10-34),16500
2023,03,30200112,구암동,F,건설업(41-42),6600
2023,03,30200112,구암동,G,도매 및 소매업(45-47),70500
2023,03,30200112,구암동,H,운수 및 창고업(49-52),7000
2023,03,30200112,구암동,I,숙박 및 음식점업(55-56),63600
2023,03,30200112,구암동,K,금융 및 보험업(64~66),660000
2023,03,30200112,구암동,M,전문  과학 및 기술 서비스업(70-73),235400
2023,03,30200112,구암동,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),176400
2023,03,30200112,구암동,O,공공 행정 국방 및 사회보장 행정(84),91200
2023,03,30200112,구암동,P,교육 서비스업(85),123000
2023,03,30200112,구암동,Q,보건업 및 사회복지 서비스업(86-87),136600
2023,03,30200112,구암동,R,예술  스포츠 및 여가관련 서비스업(90-91),52300
2023,03,30200112,구암동,S,협회 및 단체  수리 및 기타 개인 서비스업(94-96),105500
2023,03,30200122,궁동,C,제조업(10-34),15700
2023,03,30200122,궁동,F,건설업(41-42),34000
2023,03,30200122,궁동,G,도매 및 소매업(45-47),51000
2023,03,30200122,궁동,H,운수 및 창고업(49-52),23300
2023,03,30200122,궁동,I,숙박 및 음식점업(55-56),71100
2023,03,30200122,궁동,K,금융 및 보험업(64~66),558000
2023,03,30200122,궁동,M,전문  과학 및 기술 서비스업(70-73),66300
2023,03,30200122,궁동,N,사업시설 관리  사업 지원 및 임대 서비스업(74-76),27500
2023,03,30200122,궁동,O,공공 행정 국방 및 사회보장 행정(84),106900
2023,03,30200122,궁동,P,교육 서비스업(85),418200
2023,03,30200122,궁동,Q,보건업 및 사회복지 서비스업(86-87),156000
